dish,net,Estimated_GI,net_cleaned,Net_Carbs,GL
Sliced pork with mshroom and carrot,"  120 g
",20.0,120.0,36.0,7.2
Minced pork with cauliflower and carrot,"  133 g
",19.166666666666668,133.0,39.9,7.6475
Chinese cabbage," 127 g
",15.0,127.0,38.1,5.715
Coarse grain, 133 g,40.0,133.0,39.9,15.96
Wonton, 250 g,72.5,250.0,75.0,54.375
Egg," 62 g
",30.0,62.0,18.599999999999998,5.579999999999999
Coarse grain steamed bread," 136 g
",40.0,136.0,40.8,16.32
Boiled vegetable, 103 g,50.0,103.0,30.9,15.45
Steamed fish cube," 106 g
",50.0,106.0,31.799999999999997,15.899999999999999
"Towel gourd, carrot and shredded pork"," 124 g
",20.0,124.0,37.199999999999996,7.439999999999999
Leaf lettuce," 124 g
",50.0,124.0,37.199999999999996,18.599999999999998
Coarse grain, 137 g,40.0,137.0,41.1,16.44
"Asparagus, fungus and sliced pork"," 133 g
",0.0,133.0,39.9,0.0
"Cucumber, carrot and sliced pork"," 130 g
",20.0,130.0,39.0,7.8
Cabbage," 114 g
",50.0,114.0,34.199999999999996,17.099999999999998
Coarse grain, 140 g,40.0,140.0,42.0,16.8
Egg," 69 g
",30.0,69.0,20.7,6.21
Coarse grain steamed bread," 137 g
",40.0,137.0,41.1,16.44
Boiled vegetable, 107 g,50.0,107.0,32.1,16.05
Grilled river crucian carp with scallion," 161 g
",50.0,161.0,48.3,24.15
Minced pork with bean," 107 g
",12.5,107.0,32.1,4.0125
Vegetable," 106 g
",50.0,106.0,31.799999999999997,15.899999999999999
Coarse grain, 134 g,40.0,134.0,40.199999999999996,16.08
Braised chicken with water bamboo and carrot,"  160 g
",40.0,160.0,48.0,19.2
Shredded pork with cauliflower," 149 g
",8.75,149.0,44.699999999999996,3.9112499999999994
Shredded cabbage and carrot," 131 g
",40.0,131.0,39.3,15.72
Coarse grain, 129 g,40.0,129.0,38.699999999999996,15.479999999999997
Egg," 61 g
",30.0,61.0,18.3,5.49
Coarse grain steamed bread," 140 g
",40.0,140.0,42.0,16.8
Boiled vegetable, 103 g,50.0,103.0,30.9,15.45
Fried fish fillet with tomato,"  100 g
",50.0,100.0,30.0,15.0
Minced pork with yam and corn," 100 g
",0.0,100.0,30.0,0.0
Amaranth," 101 g
",50.0,101.0,30.299999999999997,15.149999999999999
Coarse grain, 127 g,40.0,127.0,38.1,15.24
Egg,	 65 g,30.0,65.0,19.5,5.85
Shredded pork with Beijing spring onion," 119 g
",0.0,119.0,35.699999999999996,0.0
Minced pork with zucchini," 102 g
",0.0,102.0,30.599999999999998,0.0
Coarse grain, 119 g,40.0,119.0,35.699999999999996,14.279999999999998
2 sugar pills (equal to, 30 g,50.0,30.0,9.0,4.5
Glucose, 20 g,50.0,20.0,6.0,3.0
Coarse grain steamed bread," 144 g
",40.0,144.0,43.199999999999996,17.279999999999998
Boiled vegetable, 102 g,50.0,102.0,30.599999999999998,15.3
Coarse grain," 116 g
",40.0,116.0,34.8,13.92
Shredded chicken with green pepper and yam," 115 g
",50.0,115.0,34.5,17.25
