dish,net,Estimated GI
Sliced pork with mshroom and carrot,"  120 g
",17.5
Minced pork with cauliflower and carrot,"  133 g
",16.67
Chinese cabbage," 127 g
",10.0
Coarse grain, 133 g,50.0
Wonton, 250 g,60.0
Egg," 62 g
",0.0
Coarse grain steamed bread," 136 g
",62.5
Boiled vegetable, 103 g,20.0
Steamed fish cube," 106 g
",0.0
"Towel gourd, carrot and shredded pork"," 124 g
",17.5
Leaf lettuce," 124 g
",10.0
Coarse grain, 137 g,50.0
"Asparagus, fungus and sliced pork"," 133 g
",0.0
"Cucumber, carrot and sliced pork"," 130 g
",17.5
Cabbage," 114 g
",10.0
Coarse grain, 140 g,50.0
Egg," 69 g
",0.0
Coarse grain steamed bread," 137 g
",62.5
Boiled vegetable, 107 g,20.0
Grilled river crucian carp with scallion," 161 g
",5.0
Minced pork with bean," 107 g
",15.0
Vegetable," 106 g
",20.0
Coarse grain, 134 g,50.0
Braised chicken with water bamboo and carrot,"  160 g
",35.0
Shredded pork with cauliflower," 149 g
",7.5
Shredded cabbage and carrot," 131 g
",22.5
Coarse grain, 129 g,50.0
Egg," 61 g
",0.0
Coarse grain steamed bread," 140 g
",62.5
Fried fish fillet with tomato,"  100 g
",0.0
Minced pork with yam and corn," 100 g
",0.0
Amaranth," 101 g
",50.0
Coarse grain, 127 g,50.0
Egg,	 65 g,0.0
Shredded pork with Beijing spring onion," 119 g
",0.0
Minced pork with zucchini," 102 g
",0.0
Coarse grain, 119 g,50.0
2 sugar pills (equal to, 30 g,50.0
Glucose, 20 g,50.0
Coarse grain steamed bread," 144 g
",62.5
Boiled vegetable, 102 g,20.0
Coarse grain," 116 g
",50.0
Shredded chicken with green pepper and yam," 115 g
",7.5
Brasied pork with radish, 135 g,0.0
Egg,	 67 g,0.0
Sliced boiled duck," 86 g
",0.0
Shredd pork with shredded lettuce," 116 g
",0.0
Coarse grain, 94 g,50.0
Coarse grain steamed bread," 128 g
",62.5
Boiled vegetable, 105 g,20.0
Coarse grain," 100 g
",50.0
Minced pork with cauliflower and carrot," 60 g
",16.67
Chicken with green pepper,  70 g,7.5
Braised duck with carrot," 63 g
",35.0
Minced pork with hangzhou cabbage," 53 g
",5.0
Coarse grain steamed bread," 123 g
",62.5
Sliced pork with king oyster mushroom and fungus," 63 g
",7.5
Minced pork with tomato and cabbage, 63 g,5.0
Egg,	 64 g,0.0
Sliced pork with zucchini," 74 g
",0.0
Minced pork with white gourd and carrot," 67 g
",17.5
Coarse grain, 100 g,50.0
Coarse grain steamed bread," 130 g
",62.5
Minced pork with eggplant," 50 g
",0.0
Shrimps and vegetables, 60 g,20.0
Egg, 	64 g,0.0
Scrambled egg with tomato," 162 g
",0.0
Shredded pork with green pepper and carrot," 116 g
",17.5
Boiled vegetable, 101 g,20.0
Coarse grain," 80 g
",50.0
Shredded pork with tomato and cabbage," 50 g
",5.0
Steamed small pomfret, 94 g,0.0
Egg, 	63 g,0.0
Steamed chicken with mushroom," 60 g
",15.0
Minced pork with cauliflower and carrot," 50 g
",16.67
Coarse grain, 60 g,50.0
Coarse grain steamed bread," 120 g
",62.5
Boiled vegetable, 106 g,20.0
Shredded pork with celery," 50 g
",0.0
Steamed fish, 119 g,0.0
Egg, 	69 g,0.0
Sliced pork with asparagus and fungus," 54 g
",0.0
Minced pork with cucumber," 10 g
",0.0
Coarse grain, 70 g,50.0
Minced pork and cowpea," 50g
",0.0
Roasted duck slices with green pepper and onion, 50g,7.5
Coarse grain," 228 g
",50.0
Shredded pork with celery," 104 g
",0.0
Spinach," 100 g
",50.0
Sliced pork with Dutch bean and yam," 130 g
",15.0
Shredded cabbage and carrot," 121 g
",22.5
Shredded pork with broccoli," 121 g
",0.0
Coarse grain, 229 g,50.0
Coarse grain steamed bread," 145 g
",62.5
Sliced boiled duck, 99 g,0.0
"
Shredded pork with parsley and carrot", 111 g,17.5
"
Vegetable"," 110 g
",20.0
Coarse grain, 130 g,50.0
Boiled vegetable, 137 g,20.0
Steamed corn meatball," 88 g
",50.0
Minced pork with cauliflower and carrot," 111g
",16.67
Vegetable," 103 g
",20.0
Braised duck with carrots," 115 g
",35.0
Minced pork with hangzhou cabbage," 127g
",5.0
Cabbage," 119 g
",10.0
Coarse grain, 138 g,50.0
Bread, 60 g,75.0
Egg," 64 g
",0.0
Coarse grain steamed bread," 134 g
",62.5
Sliced pork with king oyster mushroom and fungus," 133 g
",7.5
Minced pork with tomato and cabbage," 119 g
",5.0
Sweet potato leaves," 117 g
",80.0
Coarse grain, 132 g,50.0
Steamed chicken with mushroom," 129 g
",15.0
Minced pork with white gourd and carrot," 118 g
",17.5
Hangzhou cabbage," 119 g
",10.0
Pancake," 50 g
",50.0
Scrambled egg with tomato," 156 g
",0.0
Shredded pork with green pepper and carrot," 105 g
",17.5
Hangzhou cabbage," 111 g
",10.0
Coarse grain steamed bread," 75g
",62.5
Pork stuffed green pepper," 101 g
",0.0
Shredded pork with tomato and cabbage," 111 g
",5.0
Lettuce," 111 g
",10.0
Coarse grain, 136 g,50.0
Steamed chicken with mushroom," 106 g
",15.0
Minced pork with cauliflower and cabbage," 117 g
",8.33
Chinese cabbage," 112 g
",10.0
Coarse grain, 135 g,50.0
Coarse grain steamed bread," 132 g
",62.5
Boiled vegetable, 123 g,20.0
Braised pork with tofu skin knot," 107 g
",7.5
Shredded pork and celery," 112 g
",0.0
Spinach," 114 g
",50.0
Coarse grain, 143 g,50.0
Sliced pork with asparagus and fungus," 144 g
",0.0
Sliced pork with cucumber," 117 g
",0.0
Cabbage," 102 g
",10.0
Egg," 63 g
",0.0
Roasted river carp with scallion," 141 g
",10.0
Minced pork with cowpea," 113 g
",0.0
Vegetable," 119 g
",20.0
Sliced pork with snow pea and yam," 108 g
",0.0
Sliced pork with broccoli," 117 g
",0.0
Sliced cabbage and carrot," 121 g
",22.5
Stir-fried fish with tomato," 141 g
",0.0
Minced pork with yam and corn," 115 g
",0.0
Hangzhou cabbage," 115 g
",10.0
Coarse grain, 128 g,50.0
Roast duck with carrot," 144 g
",35.0
Sliced pork with lettuce and carrot," 135 g
",17.5
Green vegetable," 127 g
",20.0
Coarse grain, 278 g,50.0
Sliced pork with green pepper and mushroom," 112 g
",7.5
