,dish,Estimated_GI
0,Sliced pork with mshroom and carrot,20.0
1,Minced pork with cauliflower and carrot,19.166666666666668
2,Chinese cabbage,15.0
3,Coarse grain,40.0
4,Wonton,72.5
5,Egg,30.0
6,Coarse grain steamed bread,40.0
7,Boiled vegetable,50.0
8,Steamed fish cube,50.0
9,"Towel gourd, carrot and shredded pork",20.0
10,Leaf lettuce,50.0
11,Coarse grain,40.0
12,"Asparagus, fungus and sliced pork",0.0
13,"Cucumber, carrot and sliced pork",20.0
14,Cabbage,50.0
15,Coarse grain,40.0
16,Egg,30.0
17,Coarse grain steamed bread,40.0
18,Boiled vegetable,50.0
19,Grilled river crucian carp with scallion,50.0
20,Minced pork with bean,12.5
21,Vegetable,50.0
22,Coarse grain,40.0
23,Braised chicken with water bamboo and carrot,40.0
24,Shredded pork with cauliflower,8.75
25,Shredded cabbage and carrot,40.0
26,Coarse grain,40.0
27,Egg,30.0
28,Coarse grain steamed bread,40.0
29,Boiled vegetable,50.0
30,Fried fish fillet with tomato,50.0
31,Minced pork with yam and corn,0.0
32,Amaranth,50.0
33,Coarse grain,40.0
34,Egg,30.0
35,Shredded pork with Beijing spring onion,0.0
36,Minced pork with zucchini,0.0
37,Coarse grain,40.0
38,2 sugar pills (equal to,50.0
39,Glucose,50.0
40,Coarse grain steamed bread,40.0
41,Boiled vegetable,50.0
42,Coarse grain,40.0
43,Shredded chicken with green pepper and yam,50.0
44,Brasied pork with radish,0.0
45,Egg,30.0
46,Sliced boiled duck,50.0
47,Shredd pork with shredded lettuce,0.0
48,Coarse grain,40.0
49,Coarse grain steamed bread,40.0
50,Boiled vegetable,50.0
51,Coarse grain,40.0
52,Minced pork with cauliflower and carrot,19.166666666666668
53,Chicken with green pepper,50.0
54,Egg,30.0
55,Braised duck with carrot,40.0
56,Minced pork with hangzhou cabbage,0.0
57,Coarse grain,40.0
58,Coarse grain steamed bread,40.0
59,Boiled vegetable,50.0
60,Coarse grain,40.0
61,Sliced pork with king oyster mushroom and fungus,6.25
62,Minced pork with tomato and cabbage,0.0
63,Egg,30.0
64,Sliced pork with zucchini,0.0
65,Minced pork with white gourd and carrot,20.0
66,Coarse grain,40.0
67,Coarse grain steamed bread,40.0
68,Boiled vegetable,50.0
69,Coarse grain,40.0
70,Minced pork with eggplant,15.0
71,Shrimps and vegetables,50.0
72,Egg,30.0
73,Scrambled egg with tomato,30.0
74,Shredded pork with green pepper and carrot,20.0
75,Coarse grain,40.0
76,Coarse grain steamed bread,40.0
77,Boiled vegetable,50.0
78,Coarse grain steamed bread,40.0
79,Boiled vegetable,50.0
80,Coarse grain,40.0
81,Shredded pork with tomato and cabbage,0.0
82,Steamed small pomfret,50.0
83,Egg,30.0
84,Steamed chicken with mushroom,12.5
85,Minced pork with cauliflower and carrot,19.166666666666668
86,Coarse grain,40.0
87,Coarse grain steamed bread,40.0
88,Boiled vegetable,50.0
89,Coarse grain,40.0
90,Shredded pork with celery,0.0
91,Steamed fish,50.0
92,Egg,30.0
93,Sliced pork with asparagus and fungus,0.0
94,Minced pork with cucumber,0.0
95,Coarse grain,40.0
96,Coarse grain,40.0
97,Minced pork and cowpea,0.0
98,Roasted duck slices with green pepper and onion,50.0
99,Coarse grain,40.0
100,Shredded pork with celery,0.0
101,Spinach,50.0
102,Steamed fish,50.0
103,Sliced pork with Dutch bean and yam,0.0
104,Shredded cabbage and carrot,40.0
105,Shredded pork with broccoli,0.0
106,Coarse grain,40.0
107,Coarse grain steamed bread,40.0
108,Boiled vegetable,50.0
109,Sliced boiled duck,50.0
110,"
Shredded pork with parsley and carrot",20.0
111,"
Vegetable",50.0
112,Coarse grain,40.0
113,Egg,30.0
114,Coarse grain steamed bread,40.0
115,Boiled vegetable,50.0
116,Steamed corn meatball,50.0
117,Minced pork with cauliflower and carrot,19.166666666666668
118,Vegetable,50.0
119,Coarse grain,40.0
120,Braised duck with carrots,40.0
121,Minced pork with hangzhou cabbage,0.0
122,Cabbage,50.0
123,Coarse grain,40.0
124,Bread,50.0
125,Egg,30.0
126,Coarse grain steamed bread,40.0
127,Boiled vegetable,50.0
128,Sliced pork with king oyster mushroom and fungus,6.25
129,Minced pork with tomato and cabbage,0.0
130,Sweet potato leaves,50.0
131,Coarse grain,40.0
132,Steamed chicken with mushroom,12.5
133,Minced pork with white gourd and carrot,20.0
134,Hangzhou cabbage,50.0
135,Coarse grain,40.0
136,Pancake,50.0
137,Coarse grain steamed bread,40.0
138,Boiled vegetable,50.0
139,Scrambled egg with tomato,30.0
140,Shredded pork with green pepper and carrot,20.0
141,Hangzhou cabbage,50.0
142,Coarse grain,40.0
143,Coarse grain steamed bread,40.0
144,Boiled vegetable,50.0
145,Pork stuffed green pepper,0.0
146,Shredded pork with tomato and cabbage,0.0
147,Lettuce,50.0
148,Coarse grain,40.0
149,Steamed chicken with mushroom,12.5
150,Minced pork with cauliflower and cabbage,8.75
151,Chinese cabbage,15.0
152,Coarse grain,40.0
153,Coarse grain steamed bread,40.0
154,Boiled vegetable,50.0
155,Braised pork with tofu skin knot,0.0
156,Shredded pork and celery,0.0
157,Spinach,50.0
158,Coarse grain,40.0
159,Sliced pork with asparagus and fungus,0.0
160,Sliced pork with cucumber,0.0
161,Cabbage,50.0
162,Coarse grain,40.0
163,Egg,30.0
164,Coarse grain steamed bread,40.0
165,Boiled vegetable,50.0
166,Roasted river carp with scallion,50.0
167,Minced pork with cowpea,0.0
168,Vegetable,50.0
169,Coarse grain,40.0
170,Sliced pork with snow pea and yam,0.0
171,Sliced pork with broccoli,0.0
172,Sliced cabbage and carrot,40.0
173,Coarse grain,40.0
174,Egg,30.0
175,Coarse grain steamed bread,40.0
176,Boiled vegetable,50.0
177,Stir-fried fish with tomato,50.0
178,Minced pork with yam and corn,0.0
179,Hangzhou cabbage,50.0
180,Coarse grain,40.0
181,Roast duck with carrot,40.0
182,Sliced pork with lettuce and carrot,20.0
183,Green vegetable,50.0
184,Coarse grain,40.0
185,Egg,30.0
186,Coarse grain steamed bread,40.0
187,Boiled vegetable,50.0
188,Sliced pork with green pepper and mushroom,6.25
189,Braised shredded pork and cabbage,0.0
190,Green bean sprout with green pepper,50.0
191,Coarse grain,40.0
192,Diced duck with lettuce and carrot,40.0
193,Sliced pork with green pepper and water bamboo,0.0
194,Vegetable,50.0
195,Coarse grain,40.0
196,Egg,30.0
197,Coarse grain steamed bread,40.0
198,Boiled vegetable,50.0
199,Grilled pork chop with green onion,0.0
200,Minced pork with white gourd,0.0
201,Chinese cabbage,15.0
202,Coarse grain,40.0
203,Steamed chicken with scallion,50.0
204,Shredded pork with cucumber and carrot,20.0
205,Radish,50.0
206,Coarse grain,40.0
207,Fried egg and starch coated chicken slices,30.0
208,Minced pork with zucchini,0.0
209,"
Coarse grain",40.0
210,Coarse grain steamed bread,40.0
211,Boiled vegetable,50.0
212,Braised pork with radish,0.0
213,Shredded pork with water bamboo and carrot,20.0
214,Coarse grain,40.0
215,Egg,30.0
216,Sliced boiled duck,50.0
217,Coarse grain,40.0
218,Coarse grain steamed bread,40.0
219,Boiled vegetable,50.0
220,Chicken nuggets with green pepper,50.0
221,Minced pork with cauliflower and fungus,8.75
222,Coarse grain,40.0
223,Egg,30.0
224,Diced duck with water bamboo,50.0
225,Shredded pork and shredded lettuce,0.0
226,Coarse grain,40.0
227,Coarse grain steamed bread,40.0
228,Boiled vegetable,50.0
229,Sliced pork with king oyster mushroom and fungus,6.25
230,Minced pork with tomato and cabbage,0.0
231,Coarse grain,40.0
232,Egg,30.0
233,Steamed chicken with mushrooms,12.5
234,Minced pork with white gourd and carrot,20.0
235,Coarse grain,40.0
236,Coarse grain steamed bread,40.0
237,Boiled vegetable,50.0
238,Sliced pork with asparagus and fungus,0.0
239,Minced pork with cucumber and scallion oil,0.0
240,Cabbage,50.0
241,Coarse grain,40.0
242,Egg,30.0
243,Coarse grain steamed bread,40.0
244,Boiled vegetable,50.0
245,Braised duck slices with green pepper and onion,50.0
246,Minced pork with cowpea,0.0
247,Vegetable,50.0
248,Coarse grain,40.0
249,Sliced pork with snow pea and yam,0.0
250,Shredded pork with broccoli,0.0
251,Shredded Chinese cabbage and carrot,27.5
252,Coarse grain,40.0
253,Egg,30.0
254,Coarse grain steamed bread,40.0
255,Boiled vegetable,50.0
256,Stir-fried fish slices with tomatoes,50.0
257,Minced meat with yam and corn,50.0
258,Amaranthus,50.0
259,Coarse grain,40.0
260,Braised eggs and small meat balls,30.0
261,Shredded pork with lettuce and fungus,0.0
262,Cabbage and carrot,40.0
263,Coarse grain,40.0
264,Egg,30.0
265,Coarse grain steamed bread,40.0
266,Boiled vegetable,50.0
267,Chicken with lotus root and celery,50.0
268,Fried sliced pork,0.0
269,Green pepper and green bean sprouts,50.0
270,Coarse grain,40.0
271,Sliced pork with bitter melon,0.0
272,Shredded pork with green pepper and water bamboo,0.0
273,Vegetable,50.0
274,Rice,50.0
275,Egg,30.0
276,Coarse grain steamed bread,40.0
277,Boiled vegetable,50.0
278,Grilled pork ribs with scallions,0.0
279,Minced pork with white gourd,0.0
280,Sweet potato leaves,50.0
281,Coarse grain,40.0
282,Sliced pork with zucchini,0.0
283,Shredded pork with cucumber and carrot,20.0
284,Radish,50.0
285,Coarse grain,40.0
286,Egg,30.0
287,Coarse grain steamed bread,40.0
288,Boiled vegetable,50.0
289,Fried duck breast with beech mushroom,12.5
290,Shredded pork with gourd and tomato,0.0
291,Lettuce,50.0
292,Coarse grain,40.0
293,Shredded pork with green pepper and beech mushroom,6.25
294,Minced pork with towel gourd,0.0
295,Chinese cabbage and carrot,27.5
296,Coarse grain,40.0
297,Egg,30.0
